KEY A E C B C B D C A E A C E B D E C D A C E C C B C D E E A C A B B B D B C D A D
Sebastian Williams Channing 1A A E C B C E D C E E E C E C E E C E A C E C D A B S S B A C A B E A D B C C E S
Alexander Taylor Gorman 1A A A S B A S D B S E C S E C S E D S A D E C B S C A E B B C A B S B B S C B S D
Jose Rodriguez Shamrock 1A S E C B C B D S A E E B C C D E C C A A A S E B B D E C A S S A E D D E S B A E
Angel Harris Rusk 4A A E D D C E B C C E A C A A B E A B B C E E B C D A A C A A D A B B C C E D A A
Sofia King Odessa 6A A E C B C B C C B E A C E C D B S B D S C D S D C E A C E S D D S B E S D D S S
Aria Morris Frost 2A C C C C C C C C S S S S S S S S S S C C C C C C C C C C C C C C C C C C C C C C
Jacob Miller Zapata 4A A A D E E B B D B B E A B B D E C A E E E C C B A A D C C B C C D E E D C E E B
Michael Martinez Frost 2A A E D B E B D C A E E B D C D E E C A C B C C S C C S E B S D S S S S B C S A S
Emily Adams Alvin 6A A E C B C B D B A E E C E C D E C C A C E C D B C D E C A C A E E B C S S S S S
Isaac Robinson Alvin 6A C E C A D B B C E E E B E B D E C A A D E A D E C A E C A D A A E E D C C A A A
Dylan Lopez Tulia 3A C A A B E E A B B C E D D B D B C C E D C E B D C B D D A B E E E D A D C B B D
Camila Green Poolville 2A A E C A C B D C A D E C E C D E C C A C E C D B C D S B S S A E E B D B S E A D
Penelope Stewart Van 4A D E C B C B D C C B E C E C D E C D E C E C D E C D E D A C A S E B S B C E A D
David Wilson Rusk 4A A E C B C B D C A E E C E C E E C C A C B D B E S C C E B A S C B E S E C S E C
Scarlett Turner Junction 2A A E D B E B D C A E E B D C D E E C A C B C C S C C S E B S D S S S S B C S A S
Jayden Jackson Poolville 2A A E C B C B D C A E E C E C D E C C A C E E A D E A D E D D C C D D B C C D B S
Elijah Davis Lasara 2A C E C B C B E C A E E C E C E E C E A C S C D S C D E E A C A B S S C D C B E A
Abigail Baker Lamesa 4A C C E C C B E B A E E C E D E S B C S S S S S C C C S S S S S S S S S S S S S S
Natalie Flores Marfa 1A A E C B C B D C A E E C E C D S S S S S S S S S S S A A A A A S S S S S S S S S
Luke White Poolville 2A A E C B C B D A A E E C E C D S S S S S S S S S S S S S S S S E E E E S S S S S
James Martin Hooks 3A A E C B C D D C C E E C E A D S B S S S E S S S S D E S S S S C E E S S S S S D
